video,index,index of user operation frame,index of response frame,index of finish frame,index of end frame,response time(ms),finish time(ms)
popular_study-art_and_design-ibis_paint-scenario1-video,1,46,62,150,167,316,2836
popular_study-art_and_design-ibis_paint-scenario1-video,2,168,172,196,221,99,587
popular_study-art_and_design-ibis_paint-scenario1-video,3,222,237,303,324,348,1465
popular_study-art_and_design-ibis_paint-scenario1-video,4,325,329,343,375,109,340
popular_study-art_and_design-ibis_paint-scenario1-video,5,376,385,415,433,230,746
popular_study-art_and_design-ibis_paint-scenario1-video,6,434,438,487,512,120,1116
popular_study-art_and_design-ibis_paint-scenario1-video,7,513,515,548,570,86,648
popular_study-art_and_design-ibis_paint-scenario1-video,8,571,576,589,609,90,307
popular_study-art_and_design-ibis_paint-scenario1-video,9,610,612,632,657,29,371
popular_study-art_and_design-ibis_paint-scenario1-video,10,658,661,676,705,67,308
popular_study-art_and_design-ibis_paint-scenario1-video,11,706,709,778,793,58,1228
popular_study-art_and_design-ibis_paint-scenario1-video,12,794,796,883,898,39,1546
popular_study-art_and_design-ibis_paint-scenario2-video,1,47,63,80,103,274,550
popular_study-art_and_design-ibis_paint-scenario2-video,2,104,105,122,144,21,367
popular_study-art_and_design-ibis_paint-scenario2-video,3,145,149,167,191,89,509
popular_study-art_and_design-ibis_paint-scenario2-video,4,192,197,244,247,154,1119
popular_study-art_and_design-ibis_paint-scenario2-video,5,248,251,271,278,120,467
popular_study-art_and_design-ibis_paint-scenario2-video,6,279,284,287,293,114,198
popular_study-art_and_design-ibis_paint-scenario2-video,7,294,296,313,317,75,374
popular_study-art_and_design-ibis_paint-scenario2-video,8,318,327,338,339,151,335
popular_study-art_and_design-ibis_paint-scenario2-video,9,340,349,349,359,170,170
popular_study-art_and_design-ibis_paint-scenario2-video,10,360,368,401,403,176,719
popular_study-art_and_design-ibis_paint-scenario2-video,11,404,414,417,427,176,226
popular_study-art_and_design-ibis_paint-scenario2-video,12,428,436,450,460,165,401
popular_study-art_and_design-ibis_paint-scenario2-video,13,461,468,487,497,139,463
popular_study-art_and_design-ibis_paint-scenario2-video,14,498,508,508,517,196,196
popular_study-art_and_design-ibis_paint-scenario2-video,15,518,528,539,548,216,424
popular_study-art_and_design-ibis_paint-scenario2-video,16,549,558,576,582,205,517
popular_study-art_and_design-ibis_paint-scenario2-video,17,583,592,618,627,165,599
popular_study-art_and_design-ibis_paint-scenario2-video,18,628,637,639,646,196,233
popular_study-art_and_design-ibis_paint-scenario2-video,19,647,655,657,664,192,230
popular_study-art_and_design-ibis_paint-scenario2-video,20,665,674,692,701,198,522
popular_study-art_and_design-ibis_paint-scenario2-video,21,702,711,730,738,166,503
popular_study-art_and_design-ibis_paint-scenario2-video,22,739,748,751,759,184,237
popular_study-art_and_design-ibis_paint-scenario2-video,23,760,768,770,782,156,187
popular_study-art_and_design-ibis_paint-scenario2-video,24,783,785,838,875,94,1000
popular_study-art_and_design-ibis_paint-scenario2-video,25,876,889,981,985,236,1955
popular_study-art_and_design-pixel_art_paint-scenario1-video,1,1,6,25,28,83,432
popular_study-art_and_design-pixel_art_paint-scenario1-video,2,29,33,34,53,110,136
popular_study-art_and_design-pixel_art_paint-scenario1-video,3,54,65,78,88,263,515
popular_study-art_and_design-pixel_art_paint-scenario1-video,4,89,90,91,99,37,100
popular_study-art_and_design-pixel_art_paint-scenario1-video,5,100,101,103,105,28,120
popular_study-art_and_design-pixel_art_paint-scenario1-video,6,106,107,112,117,29,174
popular_study-art_and_design-pixel_art_paint-scenario1-video,7,118,119,122,131,29,132
popular_study-art_and_design-pixel_art_paint-scenario1-video,8,132,138,148,158,155,395
popular_study-art_and_design-pixel_art_paint-scenario1-video,9,159,164,249,260,113,1620
popular_study-art_and_design-pixel_art_paint-scenario1-video,10,261,262,262,270,68,68
popular_study-art_and_design-pixel_art_paint-scenario1-video,11,271,275,286,287,93,301
popular_study-art_and_design-pixel_art_paint-scenario1-video,12,288,290,318,326,77,560
popular_study-art_and_design-pixel_art_paint-scenario1-video,13,327,329,403,491,36,1292
popular_study-art_and_design-pixel_art_paint-scenario1-video,14,492,499,577,587,128,1434
popular_study-art_and_design-pixel_art_paint-scenario1-video,15,588,589,589,603,89,89
popular_study-art_and_design-pixel_art_paint-scenario1-video,16,604,605,618,629,20,271
popular_study-art_and_design-pixel_art_paint-scenario1-video,17,630,633,643,655,73,240
popular_study-art_and_design-pixel_art_paint-scenario1-video,18,656,658,658,670,97,97
popular_study-art_and_design-pixel_art_paint-scenario1-video,19,671,673,712,724,52,716
popular_study-art_and_design-pixel_art_paint-scenario1-video,20,725,736,745,746,185,369
popular_study-art_and_design-pixel_art_paint-scenario1-video,21,747,751,790,814,122,910
popular_study-art_and_design-pixel_art_paint-scenario2-video,1,1,12,21,22,172,356
popular_study-art_and_design-pixel_art_paint-scenario2-video,2,23,32,45,46,209,474
popular_study-art_and_design-pixel_art_paint-scenario2-video,3,47,47,47,68,0,0
popular_study-art_and_design-pixel_art_paint-scenario2-video,4,69,73,82,84,96,301
popular_study-art_and_design-pixel_art_paint-scenario2-video,5,85,98,109,119,243,492
popular_study-art_and_design-pixel_art_paint-scenario2-video,6,120,130,138,147,164,361
